GeneId,GeneName,GeneStart,GeneEnd
ENSG00000204713,TRIM27,28903002,28923988
ENSG00000212240,RNU6-930P,28915645,28915744
ENSG00000204709,LINC01556,28943877,28944537
ENSG00000228666,KRT18P1,28969130,28970460
ENSG00000263426,RN7SL471P,28977475,28977773
ENSG00000227214,HCG15,28986203,28987484
ENSG00000197935,ZNF311,28994785,29005316
ENSG00000223677,OR2AD1P,29026680,29027607
ENSG00000204704,OR2W1,29044213,29045175
ENSG00000236909,OR2P1P,29071824,29072599
ENSG00000228364,SAR1AP1,29076573,29077168
ENSG00000204703,OR2B3,29086208,29087313
ENSG00000204702,OR2J1,29099490,29102701
ENSG00000204701,OR2J3,29108058,29114770
ENSG00000204700,OR2J2,29170907,29175811
ENSG00000224233,OR2J4P,29181510,29182445
ENSG00000213911,OR2G1P,29229227,29230157
ENSG00000204697,OR2U1P,29262703,29264079
ENSG00000242524,OR2U2P,29268462,29269421
ENSG00000204695,OR14J1,29301701,29313017
ENSG00000230056,DDX6P1,29329626,29331061
ENSG00000243729,OR5V1,29353749,29431967
ENSG00000112462,OR12D3,29373423,29375291
ENSG00000280236,OR12D2,29395631,29398008
ENSG00000251608,OR12D1,29414928,29418905
ENSG00000204694,OR11A1,29425504,29457071
ENSG00000206474,OR10C1,29439306,29440977
ENSG00000204688,OR2H1,29457155,29464328
ENSG00000225797,UBDP1,29464596,29469806
ENSG00000230164,MAS1LP1,29475025,29476071
ENSG00000204687,MAS1L,29486697,29487956
ENSG00000213900,RPS17P1,29489271,29489676
ENSG00000229274,LINC02829,29497475,29510558
ENSG00000224582,LINC01015,29528721,29533665
ENSG00000229281,GPR53P,29537704,29538787
ENSG00000237988,OR2I1P,29550407,29557721
ENSG00000213886,UBD,29555515,29559732
ENSG00000204681,GABBR1,29555629,29633976
ENSG00000232173,OR2H5P,29573909,29574836
ENSG00000227609,TMEM183AP1,29577459,29577748
ENSG00000201330,SNORD32B,29582249,29582332
ENSG00000231301,RPL13AP,29582508,29583025
ENSG00000204657,OR2H2,29585121,29590500
ENSG00000235238,SUMO2P1,29636060,29636343
ENSG00000204655,MOG,29657002,29672372
ENSG00000204644,ZFP57,29672483,29681155
ENSG00000233916,ZDHHC20P1,29708125,29708547
ENSG00000204642,HLA-F,29722775,29738528
ENSG00000239257,RPL23AP1,29726669,29727139
ENSG00000273340,MICE,29741731,29748969
ENSG00000235821,IFITM4P,29750729,29751148
ENSG00000181126,HLA-V,29790954,29797811
ENSG00000176998,HCG4,29791753,29792750
ENSG00000261548,HLA-P,29800415,29802425
ENSG00000213880,RPL7AP7,29803195,29803991
ENSG00000237042,MICG,29812565,29812696
ENSG00000204632,HLA-G,29826967,29831125
